Lat,Lon,Title,Prison,Cumulative cases,Average population,Rate
53.4618531,-2.9354222,null,Altcourse,133,1121,119
51.48292,-2.43829,null,Ashfield,5,401,12
51.8161412,-0.8130383,null,Aylesbury,13,207,63
52.1363806,-0.4675041,null,Bedford,53,366,145
51.4957033,0.093088,null,Belmarsh,99,772,128
53.03667,-2.92746,null,Berwyn,112,1724,65
52.4796992,-1.9026911,null,Birmingham,180,916,197
52.645429,-2.1185991,null,Brinsford,43,515,83
51.4806,-2.5972985,null,Bristol,86,477,180
51.4568044,-0.1167959,null,Brixton,371,717,517
51.4329198,-0.4837583,null,Bronzefield,45,488,92
53.63475,-2.14425,null,Buckley Hall,56,436,128
51.747385,-1.2360202,null,Bullingdon,138,1043,132
52.75951,1.34576,null,Bure,78,593,132
51.4816546,-3.1791934,null,Cardiff,237,702,338
54.0782872,-2.8421447,null,Channings Wood,16,669,24
51.7345398,0.4724553,null,Chelmsford,192,671,286
51.3219622,-0.643074,null,Coldingley,22,432,51
50.54968,-3.99633,null,Dartmoor,109,617,177
54.542678,-1.940242,null,Deerbolt,13,316,41
53.5227681,-1.1335312,null,Doncaster,115,1075,107
51.4905085,-0.2348574,null,Dovegate,187,1151,162
51.41156,-0.21831,null,Downview,15,234,64
52.87742,-2.24249,null,Drake Hall,78,258,303
54.77536,-1.56537,null,Durham,281,904,311
51.21547,0.6138286,null,East Sutton Park,33,81,409
51.63513,-2.46846,null,Eastwood Park,53,347,153
51.38767,0.84891,null,Elmley,390,1079,361
51.28351,-2.04307,null,Erlestoke,4,471,8
50.725562,-3.5269108,null,Exeter,25,434,58
52.64767,-2.10977,null,Featherstone,164,637,257
50.81652,-0.57991,null,Ford,9,498,18
53.51421,-1.72539,null,Forest Bank,77,1409,55
52.88235,-1.7240951,null,Foston Hall,28,283,99
54.80668,-1.54943,null,Frankland,78,833,94
53.989602,-0.8645366,null,Full Sutton,65,573,113
52.9411414,-3.5182199,null,Garth,81,806,101
52.4955139,-0.9658565,null,Gartree,25,664,38
52.2338983,-0.7149535,null,Grendon / Spring Hill,40,475,84
50.9867094,-2.2217302,null,Guys Marsh,116,425,273
51.7634675,-0.2258741,null,Hatfield,40,295,136
54.1970806,-3.2882199,null,Haverigg,14,246,57
52.3192722,-1.9916947,null,Hewell,151,822,184
50.9145137,-0.6994729,null,High Down,54,1139,47
52.13709,0.51068,null,Highpoint,30,1284,23
53.5335298,-2.5778214,null,Hindley,10,542,18
52.0487345,1.431963,null,Hollesley Bay,108,461,234
53.8263378,-0.8106981,null,Holme House,174,1141,153
53.7435722,-0.3394758,null,Hull,174,975,178
53.6542257,-0.1971576,null,Humber,21,949,22
51.5875,-1.01884,null,Huntercombe,27,426,63
51.5725992,-1.3191629,null,Isis,33,563,59
50.6710825,-1.3328043,null,Isle of Wight,29,973,30
53.7827278,-2.8714885,null,Kirkham,19,525,36
54.4962032,-1.3412123,null,Kirklevington Grange,9,220,41
54.05216,-2.77277,null,Lancaster Farms,114,512,223
53.7974185,-1.5437941,null,Leeds,53,1029,52
52.6361398,-1.1330789,null,Leicester,16,314,51
50.8746139,0.0051153,null,Lewes,32,549,58
53.23578,-0.51799,null,Lincoln,135,586,230
53.4978048,-0.6630402,null,Lindholme,157,924,170
52.2803748,-0.3133174,null,Littlehey,11,1125,10
53.407154,-2.991665,null,Liverpool,82,718,114
52.10858,-1.85382,null,Long Lartin,164,576,284
54.82218,-1.5647,null,Low Newton,109,264,413
53.0152208,-1.0397975,null,Lowdham Grange,179,879,204
51.2748258,0.5231646,null,Maidstone,130,547,238
53.4794892,-2.2451148,null,Manchester,58,708,82
53.5467,-0.97158,null,Moorland,38,895,42
52.2141401,0.1078476,null,New Hall,10,346,29
52.94153,0.06296,null,North Sea Camp,168,384,438
55.25,-2.000559,null,Northumberland,94,1299,72
52.628606,1.29227,null,Norwich,293,706,415
52.9534193,-1.1496461,null,Nottingham,302,827,365
52.66109,-2.11007,null,Oakwood,468,1996,234
52.32712,-1.24663,null,Onley,19,666,29
48.7577882,-1.2920527,null,Parc,204,1633,125
51.54449,-0.11709,null,Pentonville,132,985,134
52.5434246,-0.3185622,null,Peterborough (Male & Female),17,1161,15
50.54919,-2.42195,null,Portland,11,483,23
53.7593363,-2.6992717,null,Preston,241,665,363
53.32015,-0.99606,null,Ranby,360,960,375
52.9171586,-1.3172836,null,Risley,241,1034,233
51.36844,0.49208,null,Rochester,118,657,180
51.7410175,0.1051401,null,Rye Hill,23,660,35
51.2912616,-0.5319146,null,Send,62,219,283
52.8063157,-2.1163818,null,Stafford,190,681,279
51.39525,0.85092,null,Standford Hill,32,434,74
52.74717,-0.58221,null,Stocken,25,1011,25
52.87036,-2.52278,null,Stoke Heath,247,701,352
53.3488582,-2.2451855,null,Styal,135,362,373
52.0401524,0.7299495,null,Sudbury,4,498,8
51.3924138,0.8528632,null,Swaleside,91,1062,86
51.6195955,-3.9459248,null,Swansea,40,353,113
52.6505324,-1.809419,null,Swinfen Hall,45,548,82
51.49328,0.08735,null,Thameside,107,1175,91
51.725,-0.54152,null,The Mount,154,1011,152
50.56209,-2.437,null,The Verne,6,560,11
50.6641368,-3.8609656,null,Thorn Cross,29,316,92
51.6855548,-2.9420188,null,Usk / Prescoed,100,450,222
53.6829541,-1.4967286,null,Wakefield,83,723,115
51.4570271,-0.1932607,null,Wandsworth,109,1491,73
52.05781,1.45971,null,Warren Hill,46,245,187
52.55401,0.85814,null,Wayland,186,932,200
53.9152563,-1.3297988,null,Wealstun,19,795,24
52.9471621,-0.8919837,null,Whatton,146,778,188
50.380814,-4.8560479,null,Whitemoor,7,455,15
51.0612766,-1.3131692,null,Winchester,85,478,178
51.5213926,-0.2405535,null,Wormwood Scrubs,209,1090,192
53.6809815,-2.7462191,null,Wymott,38,1001,38